STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AJ1,GF1,MW1,KA1,EQD,CLEAN_TMP,CLEAN_DEW
2897099999,1916-01-17 13:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"320,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0256,1","+9999,9","09863,1",,"01,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-25.6,
2897099999,1916-01-17 20:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"270,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0267,1","+9999,9","09899,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-26.7,
2897099999,1916-01-18 06:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"290,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0228,1","+9999,9","09916,1",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-22.8,
2897099999,1916-01-18 13:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"020,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0167,1","+9999,9","09906,1",,"06,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-16.7,
2897099999,1916-01-18 20:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"270,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0156,1","+9999,9","09916,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-15.6,
2897099999,1916-01-19 06:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"230,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0139,1","+9999,9","09888,1",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-13.9,
2897099999,1916-01-19 13:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"200,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0094,1","+9999,9","09838,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","70,1",,,-9.4,
2897099999,1916-01-19 20:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"250,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0039,1","+9999,9","09811,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-3.9,
2897099999,1916-01-20 06:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"230,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","09768,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-2.2,
2897099999,1916-01-20 13:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"160,1,N,0072,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","09684,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",,,-0.6,
